heldout_source,seed,mean_addition_effect
resnet,16,0.015625
resnet,17,-0.0468749925494194
resnet,18,-7.450580596923828e-09
resnet,19,0.015625
resnet,20,0.046875
resnet,21,-0.03125
resnet,22,0.0
resnet,23,0.0625
resnet,24,-0.015625
resnet,25,-0.0468750074505806
resnet,26,0.046875
resnet,27,0.015625007450580597
resnet,28,-0.031249992549419403
resnet,29,-0.03125
resnet,30,-0.015624985098838806
resnet,31,-1.4901161193847656e-08
resnet,32,0.015625
resnet,33,0.015625014901161194
resnet,34,-0.046875
resnet,35,-0.015625
resnet,36,0.03125002235174179
resnet,37,0.07812502235174179
resnet,38,0.0
resnet,39,0.046875
resnet,40,-0.015624992549419403
resnet,41,0.0
resnet,42,-0.046875
resnet,43,7.450580596923828e-09
resnet,44,0.015624992549419403
resnet,45,0.03125
resnet,46,0.0781249925494194
resnet,47,-0.015625014901161194
resnet,48,-7.450580596923828e-09
resnet,49,-0.0312499962747097
resnet,50,0.031249992549419403
resnet,51,7.450580596923828e-09
resnet,52,0.015624992549419403
resnet,53,0.0
resnet,54,-0.0781249925494194
resnet,55,0.0
resnet,56,0.0
resnet,57,-0.03125002235174179
resnet,58,-0.015625007450580597
resnet,59,0.015624992549419403
resnet,60,-0.031249992549419403
resnet,61,-0.015625
resnet,62,0.031249992549419403
resnet,63,0.0
resnet,64,-0.015625
resnet,65,-0.03125
resnet,66,-0.0625000074505806
resnet,67,0.0468750074505806
resnet,68,-0.0625000074505806
resnet,69,-3.725290298461914e-09
resnet,70,0.015625007450580597
resnet,71,-0.046875
resnet,72,-0.015625
resnet,73,-0.0468749925494194
resnet,74,1.4901161193847656e-08
resnet,75,0.0
resnet,76,0.0
resnet,77,-0.03125
resnet,78,-0.046875014901161194
resnet,79,1.4901161193847656e-08
resnet,80,0.015625007450580597
resnet,81,-0.046875
resnet,82,0.015625
resnet,83,0.046875
resnet,84,0.04687502235174179
resnet,85,0.0781250074505806
resnet,86,-0.0312500074505806
resnet,87,-0.015624992549419403
resnet,88,-0.03125
resnet,89,0.078125
resnet,90,-0.015624992549419403
resnet,91,0.031250014901161194
resnet,92,0.031250014901161194
resnet,93,-7.450580596923828e-09
resnet,94,0.0
resnet,95,0.03125
